unique_id,date,model,company,type,rating,price,battery_health
135246873202208,2022-10-28,Galaxy 4,Samsung,android,3,1471,72.09
135246873206768,2022-12-07,Galaxy 4,Samsung,android,1,1109,58.54
135246873202544,2022-02-21,Galaxy 4,Samsung,android,,747,84.26
135246873203648,2022-03-20,Galaxy 5,Samsung,android,2,1476,61.28
135246873198848,2022-04-09,Galaxy 4,Samsung,android,1,636,64.57
135246873202592,2022-10-22,Galaxy 4,Samsung,android,3,936,64.89
135246873205856,2022-07-23,Galaxy 5,Samsung,android,2,1000,78.9
135246873206432,2022-03-22,Galaxy 4,Samsung,android,3,1206,57.77
135246873198992,2022-07-23,Galaxy 4,Samsung,android,3,887,40.32
135246873200384,2022-07-02,Galaxy 4,Samsung,android,2,1051,72.18
135246873199424,2022-04-28,Galaxy 4,Samsung,android,,610,46.47
135246873206288,2022-07-05,Galaxy 4,Samsung,android,2,609,76.56
135246873201968,2022-05-28,Galaxy 4,Samsung,android,3,513,80.65
135246873205808,2022-10-14,Pixel 4,Google,android,1,1139,82.7
135246873200528,2022-03-28,Galaxy 5,Samsung,android,1,1176,70.47
135246873205424,2022-03-24,Galaxy 4,Samsung,android,3,1420,86.55
135246873202736,2022-03-31,Galaxy 4,Samsung,android,2,1045,82.77
135246873200576,2022-06-11,Pixel 5,Google,android,1,921,56.62
135246873200144,2022-07-12,Galaxy 4,Samsung,android,2,1188,88.38
135246873198800,2022-04-23,Galaxy 4,Samsung,android,3,699,77.12
135246873200192,2022-06-02,Pixel 5,Google,android,2,818,88.78
135246873202400,2022-04-13,Galaxy 4,Samsung,android,1,1024,76.61
135246873204992,2022-05-14,Galaxy 4,Samsung,android,2,737,87.98
135246873205232,2022-05-26,Galaxy 4,Samsung,android,2,1028,89.71
135246873205040,2022-07-29,Galaxy 4,Samsung,android,1,1133,67.24
135246873206480,2022-06-13,Galaxy 5,Samsung,android,2,912,78.19
135246873202688,2022-07-26,Galaxy 5,Samsung,android,2,1186,64.57
135246873205088,2022-05-02,Galaxy 6,Samsung,android,3,895,82.71
135246873206000,2022-06-01,Pixel 5,Google,android,2,524,89.66
135246873206864,2022-04-06,Galaxy 4,Samsung,android,1,627,79.06
135246873200480,2022-02-18,Galaxy 5,Samsung,android,1,972,78.97
135246873200288,2022-05-14,Galaxy 4,Samsung,android,2,847,81.1
135246873206192,2022-03-12,Galaxy 4,Samsung,android,2,1017,79.87
135246873199328,2022-08-12,Pixel 5,Google,android,1,858,57.99
135246873202160,2022-06-01,Galaxy 4,Samsung,android,1,1058,84.1
135246873205904,2022-06-21,Galaxy 4,Samsung,android,3,861,57.61
135246873207536,2022-08-14,Galaxy 5,Samsung,android,2,1247,80.1
135246873206144,2022-04-13,Galaxy 5,Samsung,android,1,733,53.73
135246873207632,2022-09-15,Pixel 4,Google,android,3,1317,84.71
135246873207584,2022-04-08,Pixel 5,Google,android,3,643,80.53
135246873207488,2022-10-27,Galaxy 6,Samsung,android,3,1067,84.11
135246873207440,2022-10-21,Galaxy 4,Samsung,android,1,567,83.47
135246873203552,2022-08-23,Galaxy 5,Samsung,android,1,1005,81.29
135246873198896,2022-12-15,Galaxy 4,Samsung,android,3,1102,89.21
135246873200336,2022-05-29,Pixel 5,Google,android,1,587,61.51
135246873200096,2022-08-17,Galaxy 4,Samsung,android,1,1003,64.7
135246873200624,2022-08-26,Galaxy 4,Samsung,android,1,745,82.06
135246873202928,2022-05-07,Pixel 5,Google,android,1,1160,69.57
135246873200240,2022-04-20,Galaxy 5,Samsung,android,2,1225,66.32
135246873202496,2022-03-23,Galaxy 6,Samsung,android,1,1008,69.74
135246873201152,2022-03-11,Pixel 4,Google,android,1,1289,86.52
135246873199376,2022-10-08,Pixel 5,Google,android,2,982,68.13
135246873207728,2022-06-02,Galaxy 4,Samsung,android,1,,
135246873200912,2022-04-26,iphone 5,IPhone,apple,1,,
135246873200864,2022-12-20,Galaxy 5,Samsung,android,2,1001,69.82
135246873202448,2022-07-30,Galaxy 5,Samsung,android,3,,
135246873200720,2022-07-16,Galaxy 4,Samsung,android,2,1276,81.13
135246873202352,2022-09-22,Galaxy 4,Samsung,android,2,1348,73.5
135246873207776,2022-04-19,Galaxy 4,Samsung,android,2,1221,86.94
135246873207824,2022-01-13,Galaxy 4,Samsung,android,1,478,84.03
135246873206240,2022-03-15,Galaxy 5,Samsung,android,3,965,63.21
135246873205184,2022-06-20,Galaxy 4,Samsung,android,1,1495,61.83
135246873199856,2022-11-16,Galaxy 6,Samsung,android,2,1006,59.02
135246873203600,2022-06-12,Galaxy 5,Samsung,android,4,986,66.09
135246873207104,2022-09-10,Galaxy 5,Samsung,android,1,512,85.0
135246873202832,2022-07-14,Galaxy 4,Samsung,android,2,,
135246873202256,2022-07-22,Galaxy 4,Samsung,android,2,933,85.23
135246873201632,2022-03-28,Galaxy 5,Samsung,android,3,1103,68.55
135246873205136,2022-08-23,Galaxy 4,Samsung,android,2,630,87.53
135246873203504,2022-05-18,Galaxy 6,Samsung,android,3,,
